Name,D,R2,POAV_VF,Topology,Topology_manually_updated
19352N2_ddec,0.000111467,0.960119561,0.57032,kgm,FALSE
19353N2_ddec,1.01E-05,0.875909893,0.52216,sql,FALSE
19360N2_ddec,1.11E-05,0.869734314,0.72416,hcb,FALSE
19366N2_ddec,1.45E-05,0.963813676,0.74054,hcb,FALSE
19380N2_ddec,0.000100523,0.932548718,0.56218,fes,FALSE
19410N2_ddec,1.40E-05,0.966600375,0.62872,kgm,FALSE
19411N2_ddec,5.21E-06,0.841710078,0.63806,kgm,FALSE
19412N2_ddec,1.47E-05,0.990669377,0.64774,kgm,FALSE
19430N2_ddec,2.13E-05,0.852741384,0.60608,sql,FALSE
19453N2_ddec,0.000126158,0.954038884,0.72908,hcb,FALSE
19460N2_ddec,3.43E-05,0.928941668,0.52916,hcb,FALSE
19462N2_ddec,2.76E-08,0.770946616,0.56016,hcb,FALSE
19466N2_ddec,1.53E-06,0.805273029,0.61988,hcb,FALSE
19470N2_ddec,2.17E-06,0.957962445,0.60968,kgd-a,FALSE
19481N2_ddec,0.001260446,0.928567592,0.44732,hcb,FALSE
19490N2_ddec,4.60E-05,0.944452833,0.43986,sql,TRUE
19510N2_ddec,1.43E-05,0.856504167,0.74932,hcb,FALSE
19511N2_ddec,6.16E-06,0.800159643,0.6455,hcb,FALSE
19520N2_ddec,7.22E-05,0.966855451,0.63746,hcb,FALSE
19521N2_ddec,8.98E-06,0.807730118,0.6019,hcb,FALSE
19530N2_ddec,7.80E-06,0.899034735,0.71042,hcb,FALSE
19531N2_ddec,1.15E-05,0.952891397,0.74086,hcb,FALSE
19540N2_ddec,3.44E-06,0.944191287,0.46844,kgm,FALSE
19541N2_ddec,5.47E-06,0.911134915,0.59676,kgm,FALSE
19560N2_ddec,3.79E-05,0.917774327,0.61718,hcb,FALSE
19570N2_ddec,0.000118058,0.967674392,0.58948,bex,FALSE
19571N2_ddec,5.75E-05,0.944344436,0.6125,bex,FALSE
19572N2_ddec,0.000161653,0.943788193,0.5627,bex,FALSE
19573N2_ddec,3.26E-05,0.91579956,0.57702,bex,FALSE
